Timestamp (steady),Current Tx,Ty,Tz,Rx,Ry,Rz,Score,RMSE3D
1747315447282,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
1747315447315,0.01630812991563098,7.583735178150578e-05,0.02902602357658099,6.319239667067732e-05,4.0866406554984636e-05,-7.123277146723841e-05,100.0,0.42852749877222923
1747315447382,-0.005012565680503625,-0.0052445470359207755,0.031351392600348464,1.197077395749615e-06,-1.0419968664576729e-05,-7.491491600833727e-06,100.0,0.43369314210034016
1747315447415,0.028501028182322922,0.024174706467456317,0.004768750046990029,1.232824888985976e-05,-8.409071101445065e-05,-0.00010557588269453181,100.0,0.42851944329383274
1747315447482,0.017866249760256116,-0.03286312846185669,0.040658694411138716,2.2989017685377078e-05,-1.2290145186000245e-06,-5.7166408335017994e-05,100.0,0.4480193766623795
1747315447515,0.0067892237456708355,-0.00964776785213578,0.007134268703080349,9.31995100282217e-06,-7.626542134264724e-06,-1.2908513317078834e-05,100.0,0.4198908039151598
1747315447583,0.012484100772192122,-0.016342539250981468,0.016276716285826227,8.414655633142169e-06,-3.515266738340905e-05,-9.796817240300663e-05,100.0,0.4350829381992321
1747315447616,0.0096779531333306,-0.011679234249185528,0.04036129929867688,7.206794110647626e-06,-4.760409054171966e-05,-5.2100219258483974e-05,100.0,0.42115257935901124
1747315447682,0.03431555515595874,0.00892931162034112,0.01187587749920758,-2.9131080433534022e-06,-0.0001080438413381124,-0.0001438612444012908,100.0,0.444744699342072
1747315447715,0.018306028581808628,-0.00019438769293207372,0.02163289168314571,-9.921863316953457e-06,-1.9680938517785407e-05,-7.934882806770322e-05,100.0,0.42104350366292054
1747315447782,-0.0005558297728699697,0.011281746666788117,0.002119799028066265,1.788181077939308e-06,-4.281595657751325e-05,1.7407781267699298e-06,100.0,0.40229177856064857
1747315447815,0.012842126340614454,-0.01018182300298701,0.016932747029325537,2.427616101004946e-06,-1.27076285787453e-05,-8.574530282052143e-05,100.0,0.406806998509191
1747315447882,0.007464687897184957,0.03199346814073154,0.023599848196860153,4.902156101162213e-05,-3.3619488279956755e-05,-8.805793223155905e-05,100.0,0.45551465159703247
1747315447950,0.030730216280702764,0.009065738781596163,0.012153740864531056,7.368475303319436e-06,-9.706330166725508e-05,-0.00012519723434985597,100.0,0.4581755033288238
1747315447983,0.014837119822958577,0.0062993509420907635,0.021676909574179636,2.8327309844476616e-05,-2.174645788444174e-05,-7.445895210144007e-05,100.0,0.4215538971595491
1747315448016,-0.008749249057193523,0.0036204406965592776,0.0008185034183237546,5.144630274450762e-06,-2.796809890015517e-05,2.3179663372067133e-05,100.0,0.4335473648695713
1747315448083,-0.0072662877985745075,0.02860476085359112,-0.0011885045419984498,2.0890645005100496e-05,-3.310663327549257e-05,-4.095008813746957e-05,100.0,0.4033491219280258
1747315448116,0.004719977840029115,0.0008807024474081387,0.025578120307568567,4.277986071352897e-06,3.4012388965276585e-06,-5.6655066791236745e-05,100.0,0.45488129888117806
1747315448183,0.02440323691228039,0.0035636167823444374,0.0036674820050104796,-1.1619057311566115e-05,-4.958096635343523e-05,-0.00010240867898670208,100.0,0.44367639338823944
1747315448216,0.01588399951249935,-0.008513789710725443,0.030741707903177047,-2.7009320514547044e-06,-8.415115312021548e-05,-6.525605390202258e-05,100.0,0.4146054003823699
1747315448283,-0.004437582536063343,0.005667748502701705,0.007019450097642468,5.881516529168743e-06,4.536123410225912e-07,4.457933607981913e-06,100.0,0.427061081290278
1747315448350,0.013985141202847579,-0.004863197728106047,0.0036607627210397268,1.127059189874259e-06,3.84500083616679e-06,-0.0001211656842612378,100.0,0.43301311676049964
