Timestamp (steady),Current Tx,Ty,Tz,Rx,Ry,Rz,Score,RMSE3D
1768817168883,1.2212453270876722e-15,5.684341886080802e-14,0.0,-3.2330111139051665e-18,0.0,3.088232744350534e-18,100.0,5.176847829860215e-14
1768817169023,-0.010308340725172975,0.08996180618543348,-0.0084583481912633,0.0010728574205782484,-0.00026509345369207793,6.91057135722386e-05,100.0,0.8433520773095429
1768817169250,0.025529156589890578,-0.026520551751140754,-0.15145410798834386,-0.0011145133026055267,-0.0007714809320118476,-3.8217321160716514e-05,100.0,0.8498307021951055
1768817169381,0.010206319125775019,-0.11863408676687037,-0.26530971973604955,-0.002395962728065074,-0.0008407914784018811,9.528075076518472e-05,100.0,0.8676598630297792
1768817169579,0.027063118395835927,-0.05507279900554295,-0.3915731917049768,-0.002547346566189916,-0.00040410036905114133,-9.545235333660671e-06,100.0,0.8836082281122837
1768817169785,0.05630666341491928,-0.29454632840749473,-0.7510726518126476,-0.006633250303788777,-0.0014139445521155203,-3.4162030164219554e-05,100.0,0.9381788786057148
1768817169950,0.0656960175063701,-0.21329439353422755,-0.48184472898914027,-0.004886974401498543,-0.0012583100533873903,-7.697581973717914e-05,100.0,0.9281914828171562
1768817170188,-0.013079241173931397,-0.3304481771347607,-0.80743542211802,-0.0077100780193298515,-0.0006248242028668027,0.00021197152936946063,100.0,0.9377912406767631
1768817170414,0.07213188036203125,-0.2130700578491226,-0.5897823550517406,-0.005314672860724042,-0.0012062937160108866,-0.00017522090079876828,100.0,0.9385691415721087
1768817170580,0.03935380233967994,-0.34799511032529634,-0.6200094168132717,-0.008232587831136727,-0.0011267837215722665,4.094231579154783e-06,100.0,0.9667490872483117
1768817170807,-0.017925637526923024,-0.5620041371102216,-0.7956952621392265,-0.013555982440515646,-0.0010240060565280817,0.0003654660000039769,100.0,1.0147450331897578
1768817171209,-0.0005506813957158436,-0.5053317048726346,-0.5460240187703453,-0.011908365694069133,-0.0008432767513972816,8.334250137033601e-05,100.0,0.9687083774297984
1768817171416,-0.011584616256577687,-0.41909231730032975,-0.28090629984950977,-0.00825734332640723,-0.0006724095941741393,0.00012695612365791475,100.0,0.9492331127960658
1768817171581,-0.0502925801311591,-0.22881058015020286,-0.09876862032858728,-0.003950575133420675,-1.5050894635049161e-05,0.00027071722992082,100.0,0.902234123879322
1768817171743,-0.002871071310724637,-0.02321152203655044,-0.036753706348782396,-2.4270715609610363e-05,-2.5772562592729642e-05,0.00011084515194280883,100.0,0.8709606329048383
1768817171879,0.003418801892983466,0.15040446825711623,0.13995004260502064,0.0025065198075663268,4.44188647930055e-06,0.00011711766377708334,100.0,0.849833980710444
1768817172169,0.04238417722528421,0.4322982157784153,0.4416416437012691,0.008704951081917479,-0.0004116972130798757,-5.809233978333866e-05,100.0,0.9123907747626555
1768817172343,0.025288835476929325,0.5466129889351513,0.5055635985622491,0.01148229267788692,8.757981368745504e-05,5.8575501043626674e-05,100.0,0.9787860756334378
1768817172500,0.045826851336269486,0.5839758168484864,0.3717559445197073,0.013234267483020996,-0.0011014128809769819,0.00022271329887125265,100.0,1.0331716857384792
1768817172768,0.06737688382807214,0.5349769848395194,0.20990375849932932,0.011292460998062394,-0.001291650068643957,0.00010945939569332198,100.0,1.033892470277596
1768817172997,0.08388129458593288,0.3823427488390514,0.062338687806711764,0.0065517888242028165,-0.0010313246893185468,1.823957471466407e-05,100.0,0.9767932812297334
