Timestamp (steady),Current Tx,Ty,Tz,Rx,Ry,Rz,Expected Tx,Ty.1,Tz.1,Rx.1,Ry.1,Rz.1,Score,RMSE3D
1747315447282,-6.217248937900877e-15,0.0,-8.526512829121202e-14,-1.966077593898055e-17,0.0,2.3504177287422582e-18,0,0,0,0,0,0,100.0,2.361883950617377e-14
1747315447315,-0.0021355930010639734,-0.005850846987172256,-0.025442466543051954,-8.786637746264517e-05,-1.565001597092497e-05,-9.10365311715595e-06,0,0,0,0,0,0,100.0,0.47643242878474545
1747315447382,-0.0026793666540881863,0.008343783739004372,-0.03943153197251304,6.054183131112217e-06,-2.5987997085641368e-05,2.424936543650171e-05,0,0,0,0,0,0,100.0,0.4742663893546218
1747315447415,-0.010392710641613881,-0.0009568144934492762,-0.00015250680543942426,-3.411925097347771e-05,6.918485366158578e-05,8.181031803940232e-06,0,0,0,0,0,0,100.0,0.47397516406525797
1747315447482,-0.015444270182301696,-0.0044293408220620134,-0.036170879746642154,-5.0592772987749824e-05,5.7401273195756275e-05,2.4173353894805307e-05,0,0,0,0,0,0,100.0,0.49917778873727525
1747315447515,-0.0036896155186579966,0.003656888659473973,-0.004697382878709665,-1.7069297831304716e-05,-2.9088239785757253e-05,3.1753814773177777e-06,0,0,0,0,0,0,100.0,0.45407471401768684
1747315447583,-0.002368496730756507,-0.003049726211386884,-0.014775370834667552,-6.61366636013936e-05,-4.4220283908158464e-05,1.5734368552394348e-05,0,0,0,0,0,0,100.0,0.48130473651338473
1747315447616,-0.0005401926702926745,0.011857462021937557,-0.04742732527763122,5.524184869479385e-06,3.7137539041554035e-05,2.0001858960485917e-06,0,0,0,0,0,0,100.0,0.4581752071552194
1747315447682,-0.012832158756715404,0.0009011634883756862,-0.023124901907787064,2.683879525237976e-05,9.850190484694821e-05,2.8515249976860193e-06,0,0,0,0,0,0,100.0,0.4983481346850083
1747315447715,-0.007499259614423658,0.007178308565968677,-0.025939733135274003,2.5237947815604443e-05,1.1533029333321565e-05,2.7934500619514814e-05,0,0,0,0,0,0,100.0,0.4590713531781405
1747315447782,0.0029836286598882013,-0.0009831578932802802,-0.005934721653210432,-9.54175775577636e-06,-2.5063678810610668e-05,6.090626078579567e-06,0,0,0,0,0,0,100.0,0.43464870055907523
1747315447815,0.0020111793919118724,-0.0029558975685196644,-0.018462768015739938,-2.5248152199973164e-05,-6.434011516009974e-06,-2.630780597866117e-05,0,0,0,0,0,0,100.0,0.43598757440365965
1747315447882,0.008953939595020098,0.0012800577599210699,-0.015378312723606097,-7.509736340801802e-05,-2.6337123163688858e-05,-1.934685154243152e-05,0,0,0,0,0,0,100.0,0.5084453711446648
1747315447950,-0.003510649737692672,-0.004689368535898425,-0.007717386034273109,-5.500445518002006e-05,2.21590772506719e-05,-1.2457129759176544e-05,0,0,0,0,0,0,100.0,0.5194149300582686
1747315447983,-0.004127171698669068,-0.004116539850559166,-0.028248028995750928,-3.753847498340561e-05,9.963170977345115e-06,1.0854534983478126e-06,0,0,0,0,0,0,100.0,0.45559928955188783
1747315448016,0.00570823917990135,-0.005615673807518841,0.00605031589670361,-4.971183353569373e-05,-5.051870236361111e-05,-1.7617281066941816e-05,0,0,0,0,0,0,100.0,0.4908112367176294
1747315448083,0.012513639137874026,-0.01116374414301981,-0.00026952824971322677,-3.7715532389189145e-05,-4.4436412740989084e-05,-1.1761174021371625e-05,0,0,0,0,0,0,100.0,0.43902395182672294
1747315448116,0.008910840424245036,0.0007203966175517434,-0.019826925618674603,-3.919171521002407e-05,-3.8031574406405255e-05,-3.017153906184921e-05,0,0,0,0,0,0,100.0,0.5079109456472617
1747315448183,-0.008963402144650436,0.0020202077578253745,0.000179943909264602,-2.9196496913092437e-05,3.029136828369694e-05,3.3937087401308058e-06,0,0,0,0,0,0,100.0,0.4910845839097712
1747315448216,-0.0005710530809716883,0.011560600567179783,-0.03350176660224348,-1.8127252437465968e-05,5.6406914618722936e-05,-3.475053546363059e-05,0,0,0,0,0,0,100.0,0.4474186466672321
1747315448283,0.0026830249189900603,-0.002334978046498166,-0.005110899085899164,-2.329747225723442e-05,-1.365150626653211e-05,3.4333296036282525e-06,0,0,0,0,0,0,100.0,0.46061444730762857
1747315448350,0.0011571363685779885,-0.005270798111012987,0.0017994514261604909,-4.425306800280877e-05,-3.735368880164458e-05,1.7471491076453765e-05,0,0,0,0,0,0,100.0,0.477966954068184
1747315448384,0.004148438633182774,0.008259662592470365,-0.037883158109452295,-4.6472220904146116e-05,-2.6268576246879505e-05,-1.3666413223362314e-05,0,0,0,0,0,0,100.0,0.45334731230533787
1747315448416,-0.012688736645379438,0.003721666804757697,-0.004219676928640104,-3.806099841741214e-05,7.234255000732048e-05,1.7161829558854952e-05,0,0,0,0,0,0,100.0,0.49870722133828416
1747315448483,0.004528197641000253,-0.0030869088979586573,-0.0009718339252649616,-5.883718130400574e-05,-4.091452588084188e-05,-1.3572436384189924e-05,0,0,0,0,0,0,100.0,0.4915619712277936
1747315448550,-0.00021975831255653932,-0.006959308338842814,-0.02132600420664552,-3.120812119022442e-05,3.0494652655255194e-05,-8.450427321591808e-06,0,0,0,0,0,0,100.0,0.43987046256912116
1747315448583,0.009544873069267957,-0.0010893940187841843,-0.013637076349500366,-3.794852074219574e-05,-3.076835964543889e-05,-2.386302414292473e-05,0,0,0,0,0,0,100.0,0.436804289959907
1747315448650,0.0038263846346601833,0.00846730414891574,-0.031199662062556602,2.165285586174836e-06,-1.4650713451525021e-05,-6.450977268151231e-06,0,0,0,0,0,0,100.0,0.4590173391196401
1747315448683,-0.007963461980948328,0.006790068196918429,-0.018549017826096716,-2.715248376329296e-05,2.8084426966890064e-05,1.1977847111504272e-05,0,0,0,0,0,0,100.0,0.5106925277836508
